time,region,size,api_price,cli_price,pay_as_you_go_price,1_year_reserved_price,3_year_reserved_price,%_saving_pay_as_you_go,%_saving_1y_reserved,%_saving_3y_reserved
2021-06-30 00:37:29.644723-04:00,eastus,Standard_D2s_v3,0.036749,0.036749,0.096,0.05719178082191781,0.036834094368340946,61.719791666666666,35.7442634730539,0.23102066115703881
2021-06-30 00:37:29.644723-04:00,eastus,Standard_H8m,0.337264,0.337264,2.35,0.720662100456621,0.4730593607305936,85.64834042553193,53.200813559322036,28.70577606177606
2021-06-30 00:37:29.644723-04:00,eastus,Standard_NC8as_T4_v3,0.175371,0.175371,0.752,0.4437214611872146,0.2857686453576865,76.67938829787235,60.47723282737329,38.63182583222371
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E4s_v3,0.089586,0.089586,0.328,0.15639269406392695,0.1,72.68719512195122,42.717272992700735,10.414000000000007
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E8s_v3,0.179172,0.179172,0.656,0.3127853881278539,0.20003805175038053,72.68719512195122,42.717272992700735,10.431041278295613
2021-06-30 00:37:29.644723-04:00,eastus,Standard_H8,0.251764,0.251764,0.543,0.5377853881278539,0.35300608828006086,53.63462246777164,53.18504266610062,28.679983615392906
2021-06-30 00:37:29.644723-04:00,eastus,Standard_H16,0.50325,0.50325,3.508,1.0756849315068493,0.7060502283105022,85.6542189281642,53.21585482330469,28.7232012934519
2021-06-30 00:37:29.644723-04:00,eastus,Standard_L16s_v2,0.26208,0.26208,1.984,0.7949771689497717,0.5278919330289193,86.79032258064515,67.03301550832855,50.35347509550927
2021-06-30 00:37:29.644723-04:00,eastus,Standard_L8s_v2,0.13104,0.13104,0.624,0.39748858447488583,0.26396499238964993,79.0,67.03301550832855,50.357053481331995
2021-06-30 00:37:29.644723-04:00,eastus,Standard_D8s_v3,0.146995,0.146995,0.384,0.22899543378995435,0.1473744292237443,61.72005208333333,35.808763708873386,0.2574593338497445
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E4_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E2_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 00:37:29.644723-04:00,eastus,Standard_D4s_v3,0.073498,0.073498,0.192,0.11449771689497718,0.07370624048706241,61.719791666666666,35.80832701894318,0.28252762003099163
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E16_v4,0.164102,0.164102,1.008,0.5947488584474886,0.3830289193302892,83.72003968253968,72.40818579654511,57.156759785416256
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E4s_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E2s_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 00:37:29.644723-04:00,eastus,Standard_E8_v4,0.082051,0.082051,0.504,0.2973744292237443,0.1915144596651446,83.72003968253968,72.40818579654511,57.156759785416256
